ACCTNUMBER,INSTITUTIONID,DECISIONFILETIMESTAMP,NONTRIVIALPAYMENTSIZETHRESHOLD1,NONTRIVIALPAYMENTSIZETHRESHOLD2,BUSINESSDAYSHELDIFPAYMENTRISKLOW,BUSINESSDAYSHELDIFPAYMENTRISKMEDIUM,BUSINESSDAYSHELDIFPAYMENTRISKHIGH,BUSINESSDAYSHELDIFPAYMENTRISKVERYHIGH,INTRADAYPAYMENTTHRESHOLD1,INTRADAYPAYMENTTHRESHOLD2,INTRADAYPAYMENTTHRESHOLD3,INTRADAYPAYMENTTHRESHOLD4,INTRADAYATTEMPTEDSPENDTHRESHOLD1,INTRADAYATTEMPTEDSPENDTHRESHOLD2,RIPTHRESHOLD1,RISKSCORE,ACHBANKACCOUNTTHRESHOLD,VIPFLAG,TESTFLAG,POLICYVERSION,POLICYSUBVERSION,ModelScoreThreshold1,ModelScoreThreshold2,ModelScoreThreshold3,ModelScoreThreshold4,ModelScoreThreshold5
1100001000002209,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002183,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002241,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002225,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002233,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002266,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002274,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002258,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002290,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002282,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002332,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002308,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002316,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002340,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002357,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002365,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002324,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002381,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002407,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002423,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002399,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002431,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002415,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002373,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002449,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002480,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002464,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002498,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002472,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002456,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002506,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002514,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002548,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002522,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002530,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002597,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002563,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002555,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002571,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002589,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002605,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002621,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002613,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002639,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002654,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002647,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002662,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002670,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
1100001000002688,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01,0.05,0.001,0.7,0.65,0.002
