ACCTNUMBER,InstitutionID,DECISIONFILETIMESTAMP,NONTRIVIALPAYMENTSIZETHRESHOLD1,NONTRIVIALPAYMENTSIZETHRESHOLD2,BUSINESSDAYSHELDIFPAYMENTRISKLOW,BUSINESSDAYSHELDIFPAYMENTRISKMEDIUM,BUSINESSDAYSHELDIFPAYMENTRISKHIGH,BUSINESSDAYSHELDIFPAYMENTRISKVERYHIGH,INTRADAYPAYMENTTHRESHOLD1,INTRADAYPAYMENTTHRESHOLD2,INTRADAYPAYMENTTHRESHOLD3,INTRADAYPAYMENTTHRESHOLD4,INTRADAYATTEMPTEDSPENDTHRESHOLD1,INTRADAYATTEMPTEDSPENDTHRESHOLD2,RIPTHRESHOLD1,RISKSCORE,ACHBANKACCOUNTTHRESHOLD,VIPFLAG,TESTFLAG,POLICYVERSION,POLICYSUBVERSION
1100001000000021,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000039,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000047,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000054,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000062,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000070,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000088,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000096,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000104,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000112,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000120,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000138,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000146,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000153,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000161,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000179,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000187,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000195,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000203,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000211,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000229,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000237,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000245,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000252,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000260,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000000278,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001276,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001284,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001292,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001300,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001318,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001326,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001334,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001342,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001359,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001367,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001375,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001383,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001391,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001409,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001417,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001581,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001599,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001607,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001615,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001623,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001698,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001706,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001714,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001722,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001730,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001748,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001755,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001763,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001771,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001789,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001797,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001805,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001813,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001821,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000001839,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000002696,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000002704,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000002712,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000002720,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000002738,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000002746,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000002753,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000002761,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000002779,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000002787,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000002795,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000002803,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000003694,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000003702,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000003710,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000003728,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000003736,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000003744,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000003751,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000003769,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000003777,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000003785,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000003793,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000003801,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000004692,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000004700,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000004718,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000004726,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000004734,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000004742,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000004759,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000005699,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000005707,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000005715,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000005723,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01
1100001000005731,6969,20180205235900,500,9999999,0,2,6,10,9999999,2000,9999999,9999999,9999999,9999999,5625,0,1500,0,0,G2,G2.01

